id	verdict	fit	liftability	integration	stages	kind	deployment	capability	judgment
R001	ADOPT	4	2	4	W01,W06,W07,W09	app	vps	workflow-orchestration	Optional direct-order application; do not duplicate the selected booking authority or existing marketing site.
R002	STUDY	5	2	4	W03,W04,W07,W08,W10	app	vps	workflow-orchestration	Best integrated restaurant-core qualification target; active-development warning and ERPNext/HRMS version compatibility block immediate cutover.
R003	SKIP	2	2	2	W07	app	vps	workflow-orchestration	Separate legacy POS is superseded by the main URY application; upstream states v1 support ended December 2025.
R004	SKIP	2	2	2	W08	app	vps	workflow-orchestration	Separate legacy Mosaic KDS is superseded; evaluate the current URY implementation instead.
R005	ADOPT	4	2	4	W03,W04,W10,W11	app	vps	workflow-orchestration	Conditional expanded back-office foundation for purchasing, stock, BOM and accounting references; pin mutually compatible versions.
R006	ADOPT	4	2	4	W02,W11	app	vps	workflow-orchestration	Adjacent workforce module for staff and approved time records; country-specific payroll remains a separate validation gate.
R007	STUDY	4	3	4	W07,W08	plugin	vps	workflow-orchestration	Odoo POS extensions are a credible alternative ecosystem, not an additional ERP to install beside Frappe.
R008	STUDY	4	3	4	W03,W04	plugin	vps	workflow-orchestration	Useful receipt, picking and stock-workflow extensions if the Odoo route wins.
R009	STUDY	4	3	4	W03	plugin	vps	workflow-orchestration	Supplier purchasing extensions; module-level version and licence checks are still required.
R011	STUDY	4	3	4	W10,W11	plugin	vps	workflow-orchestration	Journal reconciliation runner-up; accountant-approved mappings and reversals matter more than a matching screen.
R012	STUDY	4	3	4	W03,W10,W11	plugin	vps	etl-data-integration	EDI and invoice-import mechanisms worth reusing on an Odoo route; not an acquired trading-network entitlement.
R013	STUDY	4	3	4	W03,W04	plugin	vps	workflow-orchestration	BOM and production extensions offer recipe/unit patterns; restaurant yield and waste semantics need explicit tests.
R014	STUDY	4	2	4	W02,W03,W04,W07,W10,W11	app	vps	workflow-orchestration	Strong whole-ERP runner-up; choose one back-office authority rather than operate duplicate stock and accounting ledgers.
R015	STUDY	3	2	3	W07,W10	app	vps	workflow-orchestration	Retail checkout base does not itself prove restaurant coursing, recipe costing or KDS behaviour.
R019	STUDY	2	2	2	W03,W04	app	vps	workflow-orchestration	Household stock and shopping UX is useful prior art, not a restaurant financial inventory ledger.
R020	STUDY	2	2	2	W04	app	vps	workflow-orchestration	Family recipe-management patterns; no demonstrated supplier-to-COGS operating chain. Record current Commons Clause terms accurately.
R021	STUDY	2	2	2	W04	app	vps	workflow-orchestration	Personal recipe API and meal planning are not commercial portion-yield and invoice-cost controls.
R022	STUDY	2	2	2	W03,W04	app	vps	workflow-orchestration	Shopping-list and recipe interactions are reference material, not proof of a restaurant stock ledger.
R023	STUDY	1	2	2	W04	app	vps	workflow-orchestration	Recipe-sharing application; useful data-model contrast but insufficient restaurant operating scope.
R024	STUDY	3	2	3	W02,W03,W10	app	vps	workflow-orchestration	Food-cooperative purchasing and member-account workflows offer reusable patterns outside the primary restaurant segment.
R025	STUDY	3	2	3	W03,W09	app	vps	workflow-orchestration	Local-food shop ordering is adjacent to supplier collaboration, not a complete dining-room operating system.
R026	STUDY	3	2	3	W03,W09	app	vps	workflow-orchestration	Producer and food-hub marketplace is a segment alternative; avoid importing its heavier business model unnecessarily.
R027	STUDY	3	2	3	W09	app	vps	workflow-orchestration	Courier-cooperative routing patterns; neither marketplace access nor driver operations are supplied by self-hosting alone.
R028	STUDY	2	2	3	W03,W04,W05	app	vps	data-serialization	Product-identity and provenance reference; public food records are not current restaurant recipe or allergen authority.
R029	STUDY	2	2	3	W03,W04	app	vps	data-serialization	Public price observations provide provenance patterns, not the operator's supplier invoice costs.
R030	STUDY	2	2	3	W06	app	vps	job-scheduler-cron	Appointment scheduling runner-up; time slots do not establish restaurant table combinations or service pacing.
R031	STUDY	3	2	3	W06	app	vps	job-scheduler-cron	Resource booking alternative; restaurant party/table constraints still need a domain-specific acceptance test.
R032	STUDY	1	2	2	W06	app	personal-only	job-scheduler-cron	Current canonical Cal.diy README recommends personal non-production use; do not select it for restaurant booking production.
R033	ADOPT	4	2	4	W05	app	vps	forms	Optional authoritative form-record service for approved checks, not a HACCP plan or safety certification.
R034	ADOPT	4	3	4	W05	app	device	forms	Released Android offline form companion; master development source is not the production installation choice.
R035	STUDY	3	2	3	W05	app	vps	forms	Richer data-collection alternative to ODK; deployment/version complexity needs justification for a single restaurant.
R036	STUDY	2	2	3	W05,W12	app	vps	forms	Web-survey alternative; offline safety capture and restaurant corrective-action semantics remain unproved.
R037	STUDY	3	2	3	W02,W11	app	vps	workflow-orchestration	HR runner-up; source now resolves to horilla/horilla-hr and version-specific support must be retained.
R038	STUDY	3	3	3	W02,W11	plugin	vps	workflow-orchestration	Odoo HR extension route; not another employee ledger beside the selected HRMS.
R039	STUDY	2	2	3	W02,W11	app	vps	workflow-orchestration	Project-time capture is useful prior art but is not restaurant staffing, tips or payroll by itself.
R040	SKIP	2	2	2	W02	app	vps	workflow-orchestration	Leave-management scope and no recent sampled activity make it a weak new deployment beside current HR alternatives.
R041	ADOPT	4	2	4	W01,W12	app	vps	workflow-orchestration	Shared conversation queue; verify approved channels, permissions and reconciliation for missed webhook delivery.
R042	STUDY	3	2	3	W01	app	vps	email	Lighter email-support alternative; confirm API/channel module entitlements before claiming equivalent omnichannel coverage.
R043	STUDY	2	2	2	W01	app	vps	email	Symfony helpdesk skeleton is a runner-up, with more assembly and channel qualification than the selected inbox.
R044	STUDY	3	2	3	W01	app	vps	workflow-orchestration	Mature helpdesk alternative; justify its separate runtime and resource burden against the primary inbox choice.
R045	ADOPT	3	3	4	W12	app	vps	email	Optional consented email follow-up service; SMTP delivery and suppression controls remain required, and loyalty is not supplied.
R046	STUDY	3	2	3	W12	app	vps	workflow-orchestration	Marketing automation is broader than the first wedge; prefer fewer services until campaign demand is proven.
R047	STUDY	4	5	4	W07,W08	library	vps-or-device	client-sdk-generic	PHP ESC/POS alternative when the chosen host is PHP; qualify physical printers and transport, not just text rendering.
R048	ADOPT	4	5	4	W07,W08	library	vps-or-device	client-sdk-generic	Python receipt/printer adapter with device profiles; validate actual hardware and avoid exposing printers directly to the internet.
R049	STUDY	3	5	3	W07,W08	library	vps-or-device	client-sdk-generic	Node ESC/POS alternative with older sampled activity; choose only when host compatibility outweighs maintenance uncertainty.
R050	STUDY	3	5	3	W08	library	vps	data-serialization	Receipt-binary decoding and rendering for diagnostics; not the primary live kitchen-driver service.
R051	STUDY	4	5	4	W07,W08	library	vps-or-device	data-serialization	Portable receipt layout and printer-command generation, useful if native driver layout is insufficient.
R052	STUDY	4	4	4	W08	library	device	client-sdk-generic	Receipt CLI/transport bridge candidate; local-device access and authenticated job handoff remain deployment work.
R053	STUDY	3	3	3	W08	app	device	client-sdk-generic	Desktop Java print bridge, not a remote VPS's automatic access to restaurant USB devices.
R054	STUDY	3	4	3	W03,W11	spec	vps	validation-schema	Peppol invoice validation artifacts; not a network access point, tax opinion or evidence of partner onboarding.
R055	STUDY	3	5	4	W03,W11	library	vps	data-serialization	UBL XML models/parsing when the supplier format requires them; keep schema validation distinct from accounting approval.
R056	ADOPT	4	5	4	W03,W10,W11	library	vps	pdf-documents	Deterministic local invoice text extraction and templates, followed by human checks of amounts, units and credit notes.
R057	STUDY	3	5	3	W10,W11	library	vps	data-serialization	OFX statement parser; retained fixture coverage is necessary despite limited recent sampled activity.
R059	STUDY	3	3	3	W10,W11	plugin	vps	data-viz-charts	Odoo management reporting runner-up, not a reason to introduce a second accounting authority.
R060	STUDY	2	4	1	W01,W03,W06,W12	catalog	not-runtime	search	Discovery catalogue only; linked applications are not counted as examined without individual source review.
R061	STUDY	2	2	3	W03,W04	app	vps	data-serialization	Food-taxonomy curation patterns; identity alignment must not silently overwrite the client's ingredient definitions.
R062	STUDY	3	2	2	W07,W09	app	hosted-dependency	workflow-orchestration	Food-delivery frontends are visible but README describes separately licensed/private backend APIs; not a complete VPS stack.
R063	SKIP	2	2	1	W07,W09	app	hosted-dependency	workflow-orchestration	Older single-vendor frontend with unavailable backend portion is not an evidenced self-contained operating system.
R064	SKIP	1	1	1	W07	demo	not-selected	workflow-orchestration	Old class-project console architecture is not a production restaurant application despite the matching repository name.
R065	SKIP	1	1	1	W07	demo	not-selected	workflow-orchestration	Archived older ordering example; do not replace a live service workflow with this educational baseline.
R066	SKIP	1	1	1	W07	demo	device	workflow-orchestration	Archived Android/RFID project lacks a maintained single-client VPS operating route.
