id	stage	trigger	inputs	outputs	pain_ref	frequency	handoff	data_object
W01	Triage conversations and overnight exceptions	Incoming enquiry or unresolved work	Phone note, email, permitted social messages and prior exception	Assigned inquiry or approved structured booking/order draft	P02/P07; no direct channel-specific complaint retrieved	20 contacts/day assumed; actual unknown	Host or duty manager to chef, reservations or owner	Party + EvidenceRecord + Commitment reference
W02	Publish staffing and service plan	Availability change or next service	Staff availability, bookings, approved hours and service forecast	Versioned rota and acknowledged assignments	P07	Two service checks/day and weekly rota, assumed	Manager to staff; approved hours to payroll	Party + ServicePeriod
W03	Receive and count stock	Supplier delivery or scheduled count	Purchase order, delivery note, observed quantities and supplier item codes	Accepted receipt, shortage/substitution and stock movement	P01/P03	Six deliveries/week and weekly count, assumed	Receiver and chef to manager/supplier	StockMovement/Lot + Commitment + EvidenceRecord
W04	Review recipe costs and menu availability	Price, recipe, yield or ingredient change	Approved invoice costs, pack units, recipe version and physical availability	Reviewed cost delta and approved menu/availability version	P01/P04	Two material cost changes/week assumed	Chef and manager to POS/menu owner	CatalogRecipeVersion + StockMovement/Lot
W05	Commit bookings and customer orders	Approved enquiry, walk-in or order	Party size, time, menu/modifiers, availability and contact	Distinct confirmed reservation or accepted order	P08	Per booking/order; two services/day assumed	Host/order taker to kitchen and cashier	Commitment + Party + ServicePeriod
W06	Prepare and serve with acknowledgement	Accepted order or amendment	Versioned item/modifier details, station routing and prior ticket state	Acknowledged kitchen ticket, served status or exception	No direct KDS complaint retrieved; P01 is adjacent inventory evidence only	Per ticket and amendment; count unknown	Kitchen to floor staff/dispatcher	Commitment + CatalogRecipeVersion + EvidenceRecord
W07	Settle and handle refunds/loyalty	Guest payment or approved adjustment	Order balance, processor event, cash count and original transaction	Payment reference, approved refund and reversible loyalty event	P06	Per settlement; one close/day assumed	Cashier to manager and accountant	Commitment + Party + EvidenceRecord
W08	Perform and review safety checks	Scheduled check, alarm or incident	Physical check, approved procedure, probe reading and prior corrective action	Named safety record, amendment or escalation	No direct practitioner quote retrieved; official SFBB control requirement	Per approved local safety plan; frequency not invented	Trained staff to responsible manager	EvidenceRecord + ServicePeriod + StockMovement/Lot reference
W09	Review supplier invoices and purchasing exceptions	Invoice/credit received or reorder review	Immutable invoice, receipt, purchase order, units and prior cost	Discrepancy queue, approved cost update and draft supplier/accounting action	P03/P04	12 invoices/credits per week assumed	Manager and chef to supplier/accountant	EvidenceRecord + Commitment + CatalogRecipeVersion
W10	Reconcile close and prepare accountant handoff	Daily close or settlement statement arrival	Orders, refunds, deposits, fees, invoices and approved hours	Evidence-linked reconciliation packet with unresolved exceptions	P05/P07	Daily operational close; weekly accounting packet, assumed	Manager to accountant; payroll approver separately	EvidenceRecord + Commitment + ServicePeriod
